DATASOURCE,DAYOFSERVICE,TRIPID,PROGRNUMBER,STOPPOINTID,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,VEHICLEID,PASSENGERS,PASSENGERSIN,PASSENGERSOUT,DISTANCE,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
46,DB,03-JAN-18 00:00:00,5960047,26,1087,65746,65746,65467,65477,1000158,,,,,,,11-JAN-18 18:46:25,
47,DB,03-JAN-18 00:00:00,5964388,26,142,63472,63472,63271,63283,1000863,,,,,,,11-JAN-18 18:46:25,
48,DB,03-JAN-18 00:00:00,5961182,14,1194,46304,46304,46173,46201,2534800,,,,,,,11-JAN-18 18:46:25,
49,DB,03-JAN-18 00:00:00,5963773,34,1804,39030,39030,38903,38903,1000614,,,,,,,11-JAN-18 18:46:25,
50,DB,03-JAN-18 00:00:00,5959581,50,2315,28504,28504,27352,27352,2693262,,,,,,,11-JAN-18 18:46:25,
51,DB,03-JAN-18 00:00:00,5961548,10,6075,20111,20111,20192,20192,1932331,,,,,,,11-JAN-18 18:46:25,
52,DB,03-JAN-18 00:00:00,5966854,8,2980,43429,43429,43499,43534,1932319,,,,,,,11-JAN-18 18:46:25,
53,DB,03-JAN-18 00:00:00,5963311,61,2672,74377,74377,74039,74039,2868395,,,,,,,11-JAN-18 18:46:25,
54,DB,03-JAN-18 00:00:00,5972229,12,819,54978,54978,54974,55012,2693217,,,,,,,11-JAN-18 18:46:25,
55,DB,03-JAN-18 00:00:00,5968556,9,2753,49081,49081,49073,49073,2693284,,,,,,,11-JAN-18 18:46:25,
56,DB,03-JAN-18 00:00:00,5955823,24,3144,40094,40094,40222,40222,2868380,,,,,,,11-JAN-18 18:46:25,
57,DB,03-JAN-18 00:00:00,5955494,10,776,66581,66581,66379,66379,1000601,,,,,,,11-JAN-18 18:46:25,
58,DB,03-JAN-18 00:00:00,5968779,7,2665,33605,33605,33549,33560,1000327,,,,,,,11-JAN-18 18:46:25,
59,DB,03-JAN-18 00:00:00,5968854,5,2010,59145,59145,59328,59328,2172240,,,,,,,11-JAN-18 18:46:25,
60,DB,03-JAN-18 00:00:00,5955667,67,760,34972,34972,34609,34623,2868314,,,,,,,11-JAN-18 18:46:25,
61,DB,03-JAN-18 00:00:00,5971756,5,2043,35595,35595,35632,35632,1932336,,,,,,,11-JAN-18 18:46:25,
62,DB,03-JAN-18 00:00:00,5968792,6,2637,83446,83446,83490,83490,1000937,,,,,,,11-JAN-18 18:46:25,
63,DB,03-JAN-18 00:00:00,5967976,44,153,54548,54548,53932,53950,2172264,,,,,,,11-JAN-18 18:46:25,
64,DB,03-JAN-18 00:00:00,5968630,5,2467,72127,72127,72105,72105,1932352,,,,,,,11-JAN-18 18:46:25,
65,DB,03-JAN-18 00:00:00,5957155,44,786,70290,70290,70387,70415,1930281,,,,,,,11-JAN-18 18:46:25,
66,DB,03-JAN-18 00:00:00,5966230,34,2219,75985,75985,75612,75612,2406916,,,,,,,11-JAN-18 18:46:25,
67,DB,04-JAN-18 00:00:00,5956971,25,845,47133,47133,46896,46915,1932299,,,,,,,11-JAN-18 18:55:15,
68,DB,04-JAN-18 00:00:00,5970528,7,940,31205,31205,31316,31316,1000186,,,,,,,11-JAN-18 18:55:15,
69,DB,03-JAN-18 00:00:00,5968084,60,3469,86231,86231,86005,86005,2534804,,,,,,,11-JAN-18 18:46:25,
70,DB,03-JAN-18 00:00:00,5955385,18,530,29634,29634,29623,29623,1932366,,,,,,,11-JAN-18 18:46:25,
71,DB,03-JAN-18 00:00:00,5972019,62,4549,39478,39478,38623,38623,2693237,,,,,,,11-JAN-18 18:46:25,
72,DB,03-JAN-18 00:00:00,5957648,71,1861,49409,49409,48772,48772,1000183,,,,,,,11-JAN-18 18:46:25,
73,DB,04-JAN-18 00:00:00,5957741,46,2850,75923,75923,75669,75669,1000299,,,,,,,11-JAN-18 18:55:15,
74,DB,04-JAN-18 00:00:00,5962728,7,4909,82035,82035,82027,82027,1001106,,,,,,,11-JAN-18 18:55:15,
75,DB,04-JAN-18 00:00:00,5961232,12,2112,32816,32816,32737,32752,1001100,,,,,,,11-JAN-18 18:55:15,
76,DB,04-JAN-18 00:00:00,5963433,53,675,31014,31014,30802,30821,1932327,,,,,,,11-JAN-18 18:55:15,
77,DB,04-JAN-18 00:00:00,5966059,43,4464,82379,82379,82175,82175,2406867,,,,,,,11-JAN-18 18:55:15,
78,DB,04-JAN-18 00:00:00,5963289,35,4126,68852,68852,68721,68721,1000961,,,,,,,11-JAN-18 18:55:15,
79,DB,04-JAN-18 00:00:00,5963289,45,4132,69486,69486,69456,69487,1000961,,,,,,,11-JAN-18 18:55:15,
80,DB,04-JAN-18 00:00:00,5955411,52,615,72452,72452,72476,72476,1000770,,,,,,,11-JAN-18 18:55:15,
81,DB,04-JAN-18 00:00:00,5964703,48,2313,60965,60965,61109,61109,2172248,,,,,,,11-JAN-18 18:55:15,
82,DB,04-JAN-18 00:00:00,5957225,88,4641,83711,83711,83555,83566,1932371,,,,,,,11-JAN-18 18:55:15,
83,DB,04-JAN-18 00:00:00,5964189,22,44,45759,45759,45896,45928,1000736,,,,,,,11-JAN-18 18:55:15,
84,DB,04-JAN-18 00:00:00,5955304,24,1784,32672,32672,32485,32485,1932329,,,,,,,11-JAN-18 18:55:15,
85,DB,04-JAN-18 00:00:00,5966045,11,3232,63630,63630,63751,63760,2534804,,,,,,,11-JAN-18 18:55:15,
86,DB,04-JAN-18 00:00:00,5957033,21,1155,35909,35909,35505,35516,2534796,,,,,,,11-JAN-18 18:55:15,
87,DB,04-JAN-18 00:00:00,5966602,35,4302,68658,68658,69118,69118,2868333,,,,,,,11-JAN-18 18:55:15,
88,DB,04-JAN-18 00:00:00,5969874,50,749,47793,47793,47966,47966,1001217,,,,,,,11-JAN-18 18:55:15,
89,DB,04-JAN-18 00:00:00,5968387,39,1164,73836,73836,73774,73785,1001056,,,,,,,11-JAN-18 18:55:15,
90,DB,04-JAN-18 00:00:00,5958411,21,2233,70008,70008,70163,70175,2868315,,,,,,,11-JAN-18 18:55:15,
91,DB,04-JAN-18 00:00:00,5967505,37,4307,68501,68501,67765,67765,2693274,,,,,,,11-JAN-18 18:55:15,
92,DB,04-JAN-18 00:00:00,5959295,7,2044,52683,52683,52931,52931,1000263,,,,,,,11-JAN-18 18:55:15,
93,DB,04-JAN-18 00:00:00,5966378,66,2490,30485,30485,31247,31247,2172264,,,,,,,11-JAN-18 18:55:15,
94,DB,04-JAN-18 00:00:00,5971912,21,2197,49955,49955,49914,49914,2868325,,,,,,,11-JAN-18 18:55:15,
95,DB,04-JAN-18 00:00:00,5964474,51,19,55538,55538,55157,55171,1000716,,,,,,,11-JAN-18 18:55:15,
96,DB,04-JAN-18 00:00:00,5966883,71,4583,71931,71931,71838,71838,2172300,,,,,,,11-JAN-18 18:55:15,
97,DB,04-JAN-18 00:00:00,5958785,36,55,54661,54661,54268,54283,2693215,,,,,,,11-JAN-18 18:55:15,
98,DB,04-JAN-18 00:00:00,5967513,64,4363,61360,61360,60916,60928,2693197,,,,,,,11-JAN-18 18:55:15,
99,DB,05-JAN-18 00:00:00,5955871,45,65,28687,28687,27830,27830,2693215,,,,,,,12-JAN-18 20:27:15,
100,DB,05-JAN-18 00:00:00,5969741,15,396,64621,64621,64532,64587,2534838,,,,,,,12-JAN-18 20:27:15,
101,DB,05-JAN-18 00:00:00,5964504,24,880,67647,67647,67583,67620,1000720,,,,,,,12-JAN-18 20:27:15,
102,DB,05-JAN-18 00:00:00,5963338,6,7449,56044,56044,56089,56089,2693274,,,,,,,12-JAN-18 20:27:15,
103,DB,05-JAN-18 00:00:00,5965010,27,1703,75019,75019,75313,75313,2172273,,,,,,,12-JAN-18 20:27:15,
104,DB,05-JAN-18 00:00:00,5971487,7,69,62856,62856,62820,62820,1000903,,,,,,,12-JAN-18 20:27:15,
105,DB,05-JAN-18 00:00:00,5958828,23,656,51670,51670,51733,51741,2693258,,,,,,,12-JAN-18 20:27:15,
